Activity ID,Data Element ID,Data Element Label,Description and Definition,Multiple Choice Type (if applicable),Data Type,Input Options,Calculation,Quantity Sub-Type,Validation Condition,Editable,Required,Skip Logic,Linkages to Aggregate Indicators,Notes,ICD-11 Code,ICD-11 URI,ICD-11 Comments / Considerations,ICD-11 Relationship,ICD-10 Code,ICD-10 Comments / Considerations,ICD-10 Relationship,ICD-9 Code,ICD-9 Comments / Considerations,ICD-9 Relationship,LOINC version 2.68 Code,LOINC version 2.68 Comments / Considerations,LOINC version 2.68 Relationship,ICHI (Beta 3) Code,ICHI URI,ICHI Comments / Considerations,ICHI Relationship,ICF Code,ICF Comments / Considerations,ICF Relationship,SNOMED GPS Code,SNOMED GPS Code Comments Considerations,SNOMED GPS Relationship,SNOMED CT International Version Code,SNOMED CT International Version Comments / Considerations,SNOMED CT Relationship,HL7 FHIR R4 - Resource,HL7 FHIR R4 - Values,HL7 FHIR R4 Code,HL7 FHIR R4 Relationship,ICD-11 Description,WHO ATC Code,WHO ATC Name,Origin Tab
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE6,Hepatitis B Vaccines,Vaccine terminology codes for Hepatitis B,,Codes,,,,,Yes,,,"IMMZ.IND.3, IMMZ.IND.31",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07CA08,haemophilus influenzae B and hepatitis B,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE6,Hepatitis B Vaccines,Vaccine terminology codes for Hepatitis B,,Codes,,,,,Yes,,,"IMMZ.IND.3, IMMZ.IND.31",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BC01,"hepatitis B, purified antigen",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE7,HPV Vaccines,Vaccine terminology codes for Human Papillomavirus (HPV),,Codes,,,,,Yes,,,"IMMZ.IND.6, IMMZ.IND.34",,XM9QP0,http://id.who.int/icd/entity/1143858830,Extension codes are not used in primary tabulation.,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,836379009,Vaccine product containing Human papillomavirus antigen (medicinal product),,424519000,Human papillomavirus vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,Human Papillomarvirus vaccine,J07BM,Papillomavirus vaccines,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE7,HPV Vaccines,Vaccine terminology codes for Human Papillomavirus (HPV),,Codes,,,,,Yes,,,"IMMZ.IND.6, IMMZ.IND.34",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BM02,"papillomavirus (human types 16, 18)",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE7,HPV Vaccines,Vaccine terminology codes for Human Papillomavirus (HPV),,Codes,,,,,Yes,,,"IMMZ.IND.6, IMMZ.IND.34",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BM01,"papillomavirus (human types 6, 11, 16, 18)",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE7,HPV Vaccines,Vaccine terminology codes for Human Papillomavirus (HPV),,Codes,,,,,Yes,,,"IMMZ.IND.6, IMMZ.IND.34",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BM03,"papillomavirus (human types 6, 11, 16, 18, 31, 33, 45, 52, 58)",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE8,Japanese Encephalitis Vaccines,Vaccine terminology codes for Japanese Encephalitis,,Codes,,,,,Yes,,,"IMMZ.IND.17, IMMZ.IND.45",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,333698000,Japanese B encephalitis vaccine powder and solvent for injection solution vial (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE8,Japanese Encephalitis Vaccines,Vaccine terminology codes for Japanese Encephalitis,,Codes,,,,,Yes,,,"IMMZ.IND.17, IMMZ.IND.45",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,836378001,Vaccine product containing Japanese encephalitis virus antigen (medicinal product),,333697005,Japanese B encephalitis vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE8,Japanese Encephalitis Vaccines,Vaccine terminology codes for Japanese Encephalitis,,Codes,,,,,Yes,,,"IMMZ.IND.17, IMMZ.IND.45",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BA02,"encephalitis, Japanese, inactivated, whole virus",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE8,Japanese Encephalitis Vaccines,Vaccine terminology codes for Japanese Encephalitis,,Codes,,,,,Yes,,,"IMMZ.IND.17, IMMZ.IND.45",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BA03,"encephalitis, Japanese, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE9,Measles Vaccines,Vaccine terminology codes for Measles,,Codes,,,,,Yes,,,"IMMZ.IND.5, IMMZ.IND.33",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,440075005,Live measles + rubella vaccine injection dose form (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BD53,"measles, combinations with rubella, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE9,Measles Vaccines,Vaccine terminology codes for Measles,,Codes,,,,,Yes,,,"IMMZ.IND.5, IMMZ.IND.33",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,419550004,Measles + mumps + rubella + varicella vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BD54,"measles, combinations with mumps, rubella and varicella, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE9,Measles Vaccines,Vaccine terminology codes for Measles,,Codes,,,,,Yes,,,"IMMZ.IND.5, IMMZ.IND.33",,XM28X5,http://id.who.int/icd/entity/1165620955,Extension codes are not used in primary tabulation.,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,836382004,Vaccine product containing Measles morbillivirus antigen (medicinal product),,386012008,Measles vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,Measles vaccines,J07BD,Measles vaccines,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE9,Measles Vaccines,Vaccine terminology codes for Measles,,Codes,,,,,Yes,,,"IMMZ.IND.5, IMMZ.IND.33",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,400449000,"Measles virus vaccine, live, 0.5mL/vial powder for injection (product)",,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE9,Measles Vaccines,Vaccine terminology codes for Measles,,Codes,,,,,Yes,,,"IMMZ.IND.5, IMMZ.IND.33",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,30940-1,Measles virus+Mumps virus+Rubella virus dose count in combination vaccine,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,61153008,"Measles, mumps and rubella vaccine (product)",,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BD52,"measles, combinations with mumps and rubella, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE9,Measles Vaccines,Vaccine terminology codes for Measles,,Codes,,,,,Yes,,,"IMMZ.IND.5, IMMZ.IND.33",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,347649008,Measles/mumps/rubella vaccine powder and solvent for injection solution vial (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE9,Measles Vaccines,Vaccine terminology codes for Measles,,Codes,,,,,Yes,,,"IMMZ.IND.5, IMMZ.IND.33",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,419771007,Measles/mumps/rubella/varicella vaccine powder and solvent for injection solution vial (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE9,Measles Vaccines,Vaccine terminology codes for Measles,,Codes,,,,,Yes,,,"IMMZ.IND.5, IMMZ.IND.33",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BD01,"measles, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE9,Measles Vaccines,Vaccine terminology codes for Measles,,Codes,,,,,Yes,,,"IMMZ.IND.5, IMMZ.IND.33",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BD51,"measles, combinations with mumps, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE10,Meningococcal Vaccines,Vaccine terminology codes for Meningococcal,,Codes,,,,,Yes,,,"IMMZ.IND.7, IMMZ.IND.35",,XM2WV4,http://id.who.int/icd/entity/1716231214,Extension codes are not used in primary tabulation.,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,836401009,Vaccine product containing Neisseria meningitidis antigen (medicinal product),,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,Meningococcal vaccines,J07AH,Meningococcal vaccines,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE10,Meningococcal Vaccines,Vaccine terminology codes for Meningococcal,,Codes,,,,,Yes,,,"IMMZ.IND.7, IMMZ.IND.35",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,871871008,Vaccine product containing only Neisseria meningitidis serogroup A and C antigens (medicinal product),,421281005,Meningococcal A+C vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE10,Meningococcal Vaccines,Vaccine terminology codes for Meningococcal,,Codes,,,,,Yes,,,"IMMZ.IND.7, IMMZ.IND.35",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,359068008,Meningococcal C conjugate vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE10,Meningococcal Vaccines,Vaccine terminology codes for Meningococcal,,Codes,,,,,Yes,,,"IMMZ.IND.7, IMMZ.IND.35",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,333668007,Meningococcal C conjugate vaccine injection solution prefilled syringe (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE10,Meningococcal Vaccines,Vaccine terminology codes for Meningococcal,,Codes,,,,,Yes,,,"IMMZ.IND.7, IMMZ.IND.35",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,333670003,Meningococcal C conjugate vaccine injection solution vial (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE10,Meningococcal Vaccines,Vaccine terminology codes for Meningococcal,,Codes,,,,,Yes,,,"IMMZ.IND.7, IMMZ.IND.35",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,333669004,Meningococcal C conjugate vaccine powder and solvent for injection solution vial (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE10,Meningococcal Vaccines,Vaccine terminology codes for Meningococcal,,Codes,,,,,Yes,,,"IMMZ.IND.7, IMMZ.IND.35",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,871866001,Vaccine product containing only Neisseria meningitidis serogroup C antigen (medicinal product),,422069000,Meningococcal group C vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE10,Meningococcal Vaccines,Vaccine terminology codes for Meningococcal,,Codes,,,,,Yes,,,"IMMZ.IND.7, IMMZ.IND.35",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,871873006,"Vaccine product containing only Neisseria meningitidis serogroup A, C, W135 and Y antigens (medicinal product)",,420261000,Meningococcal groups A+C+W135+Y vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE10,Meningococcal Vaccines,Vaccine terminology codes for Meningococcal,,Codes,,,,,Yes,,,"IMMZ.IND.7, IMMZ.IND.35",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,347659009,Meningococcal polysaccharide vaccine powder and solvent for injection solution vial (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE10,Meningococcal Vaccines,Vaccine terminology codes for Meningococcal,,Codes,,,,,Yes,,,"IMMZ.IND.7, IMMZ.IND.35",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,698026000,Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine/Hepatitis B Surface Antigen Vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE10,Meningococcal Vaccines,Vaccine terminology codes for Meningococcal,,Codes,,,,,Yes,,,"IMMZ.IND.7, IMMZ.IND.35",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,423912009,Haemophilus influenzae type b + Meningococcal group C vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE10,Meningococcal Vaccines,Vaccine terminology codes for Meningococcal,,Codes,,,,,Yes,,,"IMMZ.IND.7, IMMZ.IND.35",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07AH02,other meningococcal monovalent purified polysaccharides antigen,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE10,Meningococcal Vaccines,Vaccine terminology codes for Meningococcal,,Codes,,,,,Yes,,,"IMMZ.IND.7, IMMZ.IND.35",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07AH05,other meningococcal polyvalent purified polysaccharides antigen,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE11,Mumps Vaccines,Vaccine terminology codes for Mumps,,Codes,,,,,Yes,,,,,XM28X5,http://id.who.int/icd/entity/1165620955,Extension codes are not used in primary tabulation.,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,419550004,Measles + mumps + rubella + varicella vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,Measles vaccines,J07BD54,"measles, combinations with mumps, rubella and varicella, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE11,Mumps Vaccines,Vaccine terminology codes for Mumps,,Codes,,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,30940-1,Measles virus+Mumps virus+Rubella virus dose count in combination vaccine,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,61153008,"Measles, mumps and rubella vaccine (product)",,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BD52,"measles, combinations with mumps and rubella, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE11,Mumps Vaccines,Vaccine terminology codes for Mumps,,Codes,,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,347649008,Measles/mumps/rubella vaccine powder and solvent for injection solution vial (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE11,Mumps Vaccines,Vaccine terminology codes for Mumps,,Codes,,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,419771007,Measles/mumps/rubella/varicella vaccine powder and solvent for injection solution vial (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE11,Mumps Vaccines,Vaccine terminology codes for Mumps,,Codes,,,,,Yes,,,,,XM1131,http://id.who.int/icd/entity/210635131,Extension codes are not used in primary tabulation.,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,836498007,Vaccine product containing Mumps orthorubulavirus antigen (medicinal product),,90043005,Mumps live virus vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,Mumps vaccine,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE11,Mumps Vaccines,Vaccine terminology codes for Mumps,,Codes,,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,376997008,Mumps virus vaccine live injection solution 0.5mL vial (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE11,Mumps Vaccines,Vaccine terminology codes for Mumps,,Codes,,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BE,Mumps vaccines,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE11,Mumps Vaccines,Vaccine terminology codes for Mumps,,Codes,,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BD51,"measles, combinations with mumps, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE11,Mumps Vaccines,Vaccine terminology codes for Mumps,,Codes,,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BJ51,"rubella, combinations with mumps, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE11,Mumps Vaccines,Vaccine terminology codes for Mumps,,Codes,,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,J07BE01,"mumps, live attenuated",IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE12,Pertussis Vaccines,Vaccine terminology codes for Pertussis,,Codes,,,,,Yes,,,"IMMZ.IND.14, IMMZ.IND.42",,XM43M9,http://id.who.int/icd/entity/1326557479,Extension codes are not used in primary tabulation.,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,449019003,Acellular pertussis vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,Pertussis vaccines,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
IMMZ.Z1 Vaccine Library,IMMZ.Z1.DE12,Pertussis Vaccines,Vaccine terminology codes for Pertussis,,Codes,,,,,Yes,,,"IMMZ.IND.14, IMMZ.IND.42",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,449240007,Diphtheria + acellular pertussis adsorbed + inactivated polio + tetanus toxoids vaccine (product),,Immunization.vaccineCode,,Not classifiable in HL7 FHIR,,,Not classifiable in WHO ATC,,IMMZ.Z Vaccine Library
